frame,track_id,vehicle,confidence,center_x,center_y
1,1,car,0.79,724,535
1,2,car,0.726,1233,580
1,3,car,0.643,647,691
1,4,car,0.541,603,308
1,5,car,0.488,590,407
1,6,car,0.459,695,493
1,7,car,0.458,395,532
1,8,car,0.431,469,485
1,9,car,0.423,672,327
1,10,car,0.418,732,400
1,11,car,0.355,692,480
1,12,car,0.309,640,357
1,13,car,0.307,434,412
1,14,car,0.306,876,422
2,2,car,0.798,1200,580
2,3,car,0.596,648,691
2,6,car,0.7,705,508
2,8,car,0.442,462,480
2,11,car,0.51,689,474
2,13,car,0.321,434,413
2,14,car,0.306,876,422
3,3,car,0.518,648,691
3,8,car,0.697,448,473
3,13,car,0.332,434,413
3,14,car,0.344,876,426
3,19,car,0.558,680,437
4,3,car,0.581,646,691
4,8,car,0.495,433,468
4,14,car,0.383,876,427
4,19,car,0.513,680,439
4,22,car,0.69,460,564
4,24,car,0.598,869,689
4,27,car,0.435,297,557
4,28,car,0.496,1046,695
4,4,car,0.738,600,296
5,3,car,0.618,647,690
5,14,car,0.547,876,429
5,22,car,0.629,473,562
5,24,car,0.653,867,686
5,27,car,0.301,297,556
5,28,car,0.627,1047,694
6,3,car,0.576,646,690
6,14,car,0.492,876,429
6,22,car,0.626,481,552
6,24,car,0.689,867,683
6,27,car,0.408,303,556
6,28,car,0.649,1040,693
6,37,car,0.374,1233,693
6,1,car,0.485,737,542
6,7,car,0.439,395,531
7,3,car,0.59,646,689
7,14,car,0.496,876,430
7,24,car,0.756,867,684
7,27,car,0.382,297,555
7,28,car,0.68,1038,692
7,40,car,0.37,355,560
7,2,car,0.841,1209,578
7,6,car,0.625,715,515
8,3,car,0.521,646,689
8,14,car,0.541,876,429
8,24,car,0.67,867,684
8,28,car,0.569,1038,692
8,37,car,0.552,1227,681
9,3,car,0.561,646,689
9,14,car,0.557,876,429
9,24,car,0.669,866,685
9,28,car,0.569,1039,693
9,7,car,0.313,395,533
9,27,car,0.33,305,557
10,3,car,0.551,646,689
10,14,car,0.555,876,428
10,24,car,0.553,866,685
10,28,car,0.612,1039,692
10,27,car,0.664,296,556
10,40,car,0.47,355,559
10,2,car,0.603,1212,567
11,3,car,0.537,646,689
11,14,car,0.544,876,427
11,24,car,0.694,866,685
11,28,car,0.617,1038,692
11,27,car,0.331,307,557
11,7,car,0.516,396,533
12,3,car,0.587,646,689
12,14,car,0.532,876,427
12,24,car,0.631,867,685
12,28,car,0.583,1039,693
12,27,car,0.466,300,556
12,1,car,0.685,740,552
12,2,car,0.705,1234,580
13,3,car,0.66,645,690
13,14,car,0.476,876,428
13,24,car,0.63,867,685
13,28,car,0.653,1038,692
13,27,car,0.411,309,557
13,52,car,0.662,204,698
13,1,car,0.638,752,558
13,2,car,0.668,1238,586
13,7,car,0.389,397,533
14,3,car,0.605,644,690
14,14,car,0.476,876,428
14,24,car,0.637,867,685
14,28,car,0.593,1039,693
14,27,car,0.465,312,557
14,52,car,0.648,204,698
14,1,car,0.762,780,564
14,7,car,0.304,398,533
15,3,car,0.604,644,690
15,14,car,0.472,876,428
15,24,car,0.679,867,685
15,28,car,0.675,1038,692
15,27,car,0.541,313,557
15,52,car,0.653,204,698
15,1,car,0.79,836,575
15,56,car,0.489,639,556
16,3,car,0.598,644,690
16,14,car,0.434,876,428
16,24,car,0.596,867,685
16,28,car,0.569,1039,692
16,27,car,0.395,315,557
16,52,car,0.665,204,698
16,56,car,0.687,631,537
16,6,car,0.78,719,553
16,2,car,0.747,1234,599
17,3,car,0.581,644,690
17,14,car,0.431,876,429
17,24,car,0.659,867,685
17,28,car,0.567,1039,693
17,27,car,0.486,312,558
17,52,car,0.623,204,698
17,56,car,0.726,622,514
17,61,car,0.596,690,494
17,6,car,0.758,719,542
17,1,car,0.792,802,587
18,3,car,0.642,644,689
18,24,car,0.633,867,685
18,28,car,0.509,1039,692
18,27,car,0.429,312,558
18,52,car,0.609,204,698
18,56,car,0.328,613,503
18,61,car,0.323,690,493
18,37,car,0.761,1221,670
19,3,car,0.587,644,688
19,24,car,0.559,867,685
19,28,car,0.499,1038,692
19,27,car,0.38,313,557
19,52,car,0.611,204,698
19,56,car,0.622,611,499
19,61,car,0.592,695,503
19,66,car,0.42,415,702
19,14,car,0.438,876,426
20,3,car,0.697,644,687
20,24,car,0.684,867,685
20,28,car,0.554,1038,692
20,27,car,0.424,318,558
20,52,car,0.625,204,698
20,56,car,0.657,610,499
20,61,car,0.616,697,508
20,66,car,0.353,416,701
21,3,car,0.684,644,687
21,24,car,0.57,867,686
21,28,car,0.431,1039,692
21,27,car,0.463,314,557
21,52,car,0.613,204,698
21,56,car,0.541,610,499
21,66,car,0.404,416,701
22,3,car,0.681,644,687
